GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
StringPalindrome,com.javatechie.StringPalindrome,DECODE_INSTRUCTION,3,60,1,15,1,18,1,9,0,2
StringPalindrome,com.javatechie.StringPalindrome,Beta_update,18,132,2,6,14,29,2,6,0,2
StringPalindrome,com.javatechie.StringPalindrome,I_CACHE,156,201,16,26,40,59,13,14,2,4
StringPalindrome,com.javatechie.StringPalindrome,find_value,99,299,27,37,21,67,21,18,1,6
StringPalindrome,com.javatechie.StringPalindrome,INTEGRATE,129,258,33,23,20,61,22,12,0,6
StringPalindrome,com.javatechie.StringPalindrome,add_polynomials,114,237,29,25,17,55,22,10,0,5
StringPalindrome,com.javatechie.StringPalindrome,TWOBIT_BRANCH_PREDICTOR,45,33,17,7,15,12,10,5,0,3
StringPalindrome,com.javatechie.StringPalindrome,App,0,12,0,0,0,3,0,2,0,2
StringPalindrome,com.javatechie.StringPalindrome,DNode,0,18,0,0,0,7,0,1,0,1
StringPalindrome,com.javatechie.StringPalindrome,parse_assembly,9,84,0,4,4,32,0,7,0,5
StringPalindrome,com.javatechie.StringPalindrome,Node,0,12,0,0,0,5,0,1,0,1
StringPalindrome,com.javatechie.StringPalindrome,subtract_polynomial,114,246,29,27,17,56,22,11,0,5
StringPalindrome,com.javatechie.StringPalindrome,DERIVATIVE,160,234,37,23,28,58,25,11,0,6
StringPalindrome,com.javatechie.StringPalindrome,INode,0,18,0,0,0,6,0,1,0,1
StringPalindrome,com.javatechie.StringPalindrome,EXECUTE_INSTRUCTION,54,435,10,32,12,87,10,21,0,10
StringPalindrome,com.javatechie.StringPalindrome,test_application,45,51,8,5,13,16,5,4,0,2
StringPalindrome,com.javatechie.StringPalindrome,main_controller,165,559,32,54,27,102,22,24,0,3
StringPalindrome,com.javatechie.StringPalindrome,D_CACHE,96,176,9,23,33,46,8,13,1,4
StringPalindrome,com.javatechie.StringPalindrome,multiply_polynomial,148,257,36,24,22,63,24,12,0,6
